P00055040A0000|181 183|FR
P09716435A1004|166 168|CP
P09717835A0941|69 72|IRS
P09718372T0000|84 85|1
P09718372T0000|91 94|MAP
P09725651A0077|33 36|run
P09726987T0000|8 12|SPT3
P09726987T0000|13 20|TAFII31
P09726987T0000|21 25|GCN5
P09726988A0275|40 45|CPT I
P09727046A0784|81 87|GATA-1
P09727046A0784|100 104|TAL1
P09731354A0963|32 33|2
P09731354A0963|35 38|APS
P09731354A0963|62 65|NH2
P09731354A0963|133 135|up
P09731705A2126|99 101|TR
P09735366A1180|84 88|Epc1
P09735366A1180|119 123|EPL1
P09735371A0227|113 118|mec-3
P09736239A0436|12 13|h
P09736239A0436|159 160|p
P09736239A0436|173 174|p
P09736239A0436|233 235|O2
P09736239A0436|244 246|O2
P09736715A0729|169 170|3
P09736715A0729|183 186|ILK
P09738010A0305|21 23|up
P09744095A1016|92 93|2
P09744095A1016|97 98|3
P09744095A1016|99 103|phyB
P09744095A1016|103 105|-1
P09744095A1016|114 115|1
P09744095A1016|115 117|-1
P09744095A1016|118 122|phyA
P09744095A1016|271 274|CAB
P09744095A1016|292 293|2
P09749988A0000|42 43|1
P09749988A0000|46 47|3
P09753241A0524|205 206|1
P09753774A2246|67 76|sst and 1
P09754571A1257|41 44|arm
P09754571A1257|59 61|10
P09754571A1257|63 65|10
P09755191A0553|24 25|5
P09755191A0553|25 27|-1
P09755191A0553|100 104|chc1
P09755191A0553|154 155|3
P09755191A0553|168 172|CHC1
P09759691A1051|205 207|SD
P09759691A1051|422 424|m2
P09759865A0673|28 37|TNF-alpha
P09759865A0673|74 77|Rel
P09759865A0673|283 291|IL-1beta
P09765261A0000|194 198|CREB
P09765261A0000|347 348|C
P09765285A1763|120 124|DR-4
P09765285A1763|132 134|-1
P09770378A0641|38 39|5
P09770378A0641|42 43|3
P09773975A1873|95 101|Ang II
P09773975A1873|116 117|1
P09773975A1873|118 119|2
P09773975A1873|247 248|1
P09773975A1873|249 250|2
P09773975A1873|280 281|1
P09773975A1873|282 283|2
P09773975A1873|313 314|1
P09773975A1873|315 316|2
P09773975A1873|346 347|1
P09773975A1873|348 349|2
P09773981A0415b|78 83|Stat5
P09774444A0351|73 76|Cys
P09774444A0351|76 77|2
P09774662A0958|59 63|E2F1
P09776360A0620|64 68|AP-1
P09778006A0718|127 129|SD
P09778006A0718|249 251|-1
P09778006A0718|260 262|-1
P09778068A1129|117 118|2
P09778068A1129|193 194|1
P09781874A1061|8 10|-1
P09781874A1061|148 152|cwg2
P09781874A1061|152 153|p
P09789025A0149|15 17|12
P09789025A0149|41 48|Galphai
P09789025A0149|59 62|SRF
P09790771A1032|67 73|Gng3lg
P09792627A0441|0 5|SRC-1
P09792627A0441|55 57|GR
P09792714A1408|19 23|AF-1
P09792714A1408|157 161|AF-1
P09797456A0883|0 5|AMY-1
P09797456A0883|57 62|c-myc
P09797456A0883|120 125|c-myc
P09799237A0624|23 26|Srf
P09799237A0624|88 92|term
P09799362A1463|23 24|p
P09799362A1463|125 129|Mtf1
P09799362A1463|129 130|p
P09799362A1463|168 169|1
P09799362A1463|169 170|p
P09800187A0100|250 253|Trp
P09802206A1058|100 102|-1
P09802206A1058|113 117|RPS7
P09802206A1058|146 148|S7
P09806546A1270|30 35|RFXAP
P09806546A1270|68 71|RFX
P09806826A0244|90 93|Vwf
P09806826A0244|107 108|6
P09808366A0828|151 152|5
P09811695A1146|72 74|PR
P09811695A1146|107 109|TM
P09811695A1146|110 121|Env protein
P09811695A1146|122 125|p15
P09813254A0000|14 15|5
P09813254A0000|33 34|2
P09813254A0000|87 90|IFN
P09817131A0296|11 13|HK
P09817131A0296|15 17|SF
P09817601T0000|71 75|arom
P09822602A0237|232 252|CREB-binding protein
P09822602A0237|254 257|CBP
P09822652A1118|24 27|HCK
P09822652A1118|85 88|Sp1
P09822685A0596|79 80|N
P09824158A1336|74 79|N-CoR
P09824158A1336|84 88|SMRT
P09827878A0091|61 64|SOD
P09828137A0000|87 88|S
P09828137A0000|99 101|G2
P09828137A0000|102 103|M
P09829843A0819|144 150|GM-CSF
P09829843A0819|159 164|G-CSF
P09832436T0000|100 103|PRL
P09837907A0857|33 37|IL-4
P09837907A0857|76 80|TNF-
P09837907A0857|160 164|AP-1
P09837907A0857|183 186|Jun
P09837907A0857|187 188|N
P09837913A0000|19 21|D2
P09837913A0000|37 38|5
P09837920A0222|139 142|JNK
P09837933T0000|0 6|P-CIP1
P09840928A0884|64 66|H3
P09840928A0884|76 78|H4
P09840928A0884|126 128|H3
P09843577A0000|79 80|M
P09844106A0835|86 89|ST2
P09848653A0597|4 5|p
P09851614A0109|92 93|1
P09851614A0109|143 144|5
P09851614A0109|146 149|cap
P09852136A0507|110 113|Rho
P09852136A0507|139 142|ADP
P09854034A0536|46 47|C
P09854034A0536|66 67|1
P09857197A0289|4 5|p
P09857197A0289|57 58|1
P09857197A0289|58 59|p
P09857197A0289|96 99|NES
P09857197A0289|118 122|Yap1
P09857197A0289|122 123|p
P09857265A0669|52 54|RE
P09858094A0583|54 56|O2
P09858531A1017|100 103|fos
P09858581A0183|149 151|Ts
P09858581A0183|165 167|-1
P09858599A0392|11 16|HOXA9
P09858599A0392|38 41|NIH
P09858599A0392|42 43|3
P09858599A0392|96 101|HOXA9
P09858883A1106|41 43|10
P09858883A1106|45 48|M-1
P09858883A1106|70 72|A3
P09858883A1106|92 94|10
P09858883A1106|95 97|10
P09858883A1106|99 102|M-1
P09858883A1106|124 126|A3
P09860979A0521|14 18|p130
P09860979A0521|19 22|Cas
P09860979A0521|25 28|Cas
P09860979A0521|63 66|Crk
P09860979A0521|67 70|SH2
P09860979A0521|92 95|JNK
P09860979A0521|133 136|SH2
P09860979A0521|147 150|Crk
P09861099A1011|85 86|P
P09861099A1011|110 111|r
P09861099A1011|118 119|P
P09861099A1011|159 160|g
P09861099A1011|167 169|SD
P09861099A1011|192 194|SD
P09863624A0629|83 87|CRF1
P09863624A0629|216 220|CRF1
P09863624A2301|211 212|C
P09863624A2301|249 250|1
P09867253A0229|38 41|Fos
P09867253A0229|93 96|Jun
P09867253A0229|130 134|AP-1
P09868412A1628|185 186|2
P09868412A1628|233 234|3
P09869297A1807|41 44|CE2
P09869356A0926|62 65|CAL
P09872337A0000|128 129|v
P09872337A0000|149 150|w
P09872337A0000|151 152|v
P09872337A0000|278 279|1
P09872337A0000|302 303|T
P09872832A1262|122 126|IL-6
P09872832A1262|129 133|IL-8
P09872832A1262|171 180|TNF-alpha
P09872832A1262|205 214|IFN-gamma
P09872832A1262|248 249|p
P09880029A0703|65 68|Rep
P09880029A0703|181 184|Rep
P09880029A0703|209 211|C2
P09880029A0703|216 218|C3
P09880029A0703|274 276|C2
P09880029A0703|281 283|C6
P09880103A0387|21 22|1
P09880103A0387|83 85|10
P09880103A0387|90 91|M
P09880327A0322|87 88|p
P09881666A0535|35 39|CREB
P09881666A0535|66 70|AP-1
P09882303A1413|33 38|TRADD
P09882303A1413|78 79|N
P09882303A1413|98 103|TRAF2
P09882303A1413|155 158|JNK
P09882334A0822|190 191|N
P09886602A0000|312 315|PSA
P09891046A0269|105 108|PKR
P09891046A0554|56 59|PKR
P09891049A0761|105 106|p
P09891049A0761|111 115|Rat1
P09891049A0761|115 116|p
P09892021A0712|42 43|3
P09892642A0172|6 18|DNA helicase
P09892642A0172|60 63|ori
P09892736A0343|25 26|C
P09892736A0343|166 170|ORC1
P09903722T0000|56 57|1
P09903722T0000|76 78|H2
P09914156A1496|112 113|5
P09914518A1217|95 99|AF-1
P09914518A1217|128 130|ER
P09915860A0000|29 32|mdr
P09915860A0000|32 33|1
P09915860A0000|46 48|GC
P09915860A0000|62 66|pgp2
P09915860A0000|66 68|GC
P09915860A0000|98 101|mdr
P09915860A0119|37 41|pgp2
P09915860A0119|42 45|mdr
P09915860A0119|45 46|1
P09917064T0000|14 17|p82
P09917064T0000|28 32|CPEB
P09917389A1239|15 22|RNase E
P09917389A1239|72 75|GST
P09920775A0075|166 169|P19
P09922856A0459|132 133|h
P09922856A0459|138 140|10
P09922856A0459|147 148|h
P09924987A0000|80 81|N
P09927570A0507|134 136|E1
P09927570A0507|157 159|E1
P09927570A0507|170 171|3
P09931191A0434|50 53|Con
P09931191A0434|62 65|arm
P09931191A0434|170 171|1
P09933428A0351|0 9|IFN-gamma
P09947191T0000|66 67|A
P09947191T0000|77 78|1
P09949160A0600|58 61|PKC
P09949160A0600|123 126|PKC
P09949160A0600|238 241|Epo
P09971776A0838|162 164|AP
P09971776A0838|226 227|C
P09971815A2094|309 310|v
P09987634A1265|22 23|5
P09987634A1265|100 103|PRK
P09988682T0033|57 88|N-acetylglucosaminyltransferase
P09988682T0033|102 103|2
P09990060A0937|53 57|p300
P09990060A0937|181 186|IL-16
P09990060A0937|199 200|T
P09990315A0205|31 35|ERK1
P09990315A0205|37 41|ERK2
P09990315A0205|61 62|C
P09990315A0205|64 67|PKC
P09990315A0205|78 81|TPO
P09990315A0205|104 107|PKC
P09990315A0205|224 227|PKC
P09999742T0000|28 30|Si
P09999742T0000|37 38|2
P09999742T0000|41 42|1
P10001333T0038|28 29|3
P10008261T0000|76 77|3
P10008261T0000|77 79|O6
P10022850A0929|57 59|H1
P10022875A1265|68 69|3
P10022905A0446|159 164|mog-1
P10026211A0136|70 74|CREB
P10026211A0136|95 125|CCAAT/enhancer-binding protein
P10026211A0136|127 132|C/EBP
P10026211A0543|45 46|C
P10026211A0543|73 77|CREB
P10026824A0309|224 226|V2
P10029337A0406|96 98|-1
P10029337A0406|143 145|CK
P10029337A0406|167 168|2
P10029337A0406|180 182|SD
P10029337A0406|194 196|-1
P10034615T0000|80 81|2
P10034615T0000|83 84|H
P10037681A0494|34 43|PKC-alpha
P10037681A0494|49 53|PLD1
P10037681A0494|78 79|C
P10037681A0494|107 111|PLD1
P10037681A0494|122 124|D4
P10037774A0366|96 100|LDLR
P10049357A0608|72 75|Ski
P10049775T0000|68 69|2
P10049912T0000|24 25|T
P10066798A0391|7 9|D1
P10066798A0391|128 131|src
P10066815T0000|35 36|5
P10066815T0000|102 103|3
P10066815T0000|129 130|1
P10066815T0000|154 155|B
P10068446A0124|156 159|PKC
P10068834A0713|73 75|MR
P10071205A0833|104 105|5
P10072774A0537|3 6|PCR
P10073947A1110|43 48|PAI-1
P10076007A0656|88 93|mRNP3
P10080901A0271|2 5|set
P10080901A0271|99 100|N
P10080901A0271|142 144|L9
P10082137A0262|24 33|IFN-gamma
P10082137A0262|104 106|-1
P10082137A0262|173 174|1
P10082573A1015|225 232|DNase I
P10090125A0750|50 52|10
P10090125A0750|61 63|10
P10090125A0750|68 69|M
P10090535A1194|53 54|6
P10090535A1194|68 73|Lp(a)
P10090943A1426|22 27|CD79b
P10090943A1426|35 40|CD79b
P10090943A1426|84 86|SD
P10090943A1426|122 124|SD
P10090943A1426|128 129|B
P10090943A1426|135 136|P
P10096573A0207|154 158|MGSA
P10096573A0207|159 168|GRO-alpha
P10097932A0915|81 82|3
P10097932A0915|179 180|h
P10097932A0915|206 208|up
P10102627A0217|35 39|AP-1
P10103002A0705|9 10|N
P10187798A1098|25 30|DAP-1
P10187798A1098|62 66|TNF-
P10187798A1098|114 118|TNF-
P10194451A0000|65 69|p210
P10194451A0000|205 208|key
P10194769A0146|141 144|PRL
P10196248A0482|122 123|5
P10196248A0482|129 133|arms
P10196248A0482|152 154|GC
P10196248A0482|169 171|GC
P10200473A0171|99 106|Usurpin
P10200473A0171|115 119|CASH
P10200473A0171|121 127|Casper
P10200473A0171|129 134|CLARP
P10200473A0171|136 143|FLAME-1
P10200473A0171|151 158|I-FLICE
P10201468A0297|71 76|GLP-1
P10202006A0546|88 89|A
P10202006A0546|91 94|SPA
P10202006A1266|164 166|VH
P10202006A1266|244 245|B
P10205099A0377|148 151|T12
P10205099A0377|194 195|1
P10205099A0377|222 224|12
P10205099A0377|245 247|I3
P10205588A0000|132 133|A
P10205588A0000|140 143|HSA
P10207049A0693|56 57|1
P10209119A0076|34 35|p
P10209119A0076|67 68|p
P10209119A0076|78 79|F
P10209119A0076|106 107|p
P10209119A0076|124 125|p
P10209119A0076|213 214|1
P10209119A0076|214 215|p
P10209119A0076|233 234|3
P10209119A0076|241 242|5
P10209119A0076|245 246|6
P10212278A0387|114 117|Jun
P10212278A0387|118 119|N
P10212278A0387|150 153|JNK
P10212278A0387|212 216|MAPK
P10215485A0837|117 119|NA
P10216052A1682|96 97|p
P10218357A0486|53 55|G2
P10218357A0486|102 106|cuff
P10223338A2186|86 89|gag
P10224244T0000|69 70|1
P10224244T0000|104 108|INO1
P10224257A0079|17 22|her-1
P10224257A0079|30 35|her-1
P10224257A0079|41 46|her-1
P10224257A0079|94 96|P1
P10224257A0079|113 114|5
P10224257A0079|137 139|P2
P10225279A0450|133 134|1
P10226074A0637|60 62|12
P10228009A0600|59 62|TNF
P10228009A0600|93 98|TRAF6
P10228009A0600|109 114|TRAF2
P10228561A0539|40 59|DNA polymerase beta
P10229084A0000|44 47|p59
P10229084A0000|47 50|fyn
P10229084A0000|114 115|T
P10229084A0000|231 234|Fyn
P10229084A0000|324 325|2
P10229084A0000|391 399|SLAP-130
P10229682A1151|202 203|5
P10231454A0731|86 88|dl
P10231454A0731|116 118|dl
P10232600T0000|27 30|PSA
P10318806A0000|132 134|-1
P10318806A0000|137 140|Jun
P10318806A0000|141 144|NH2
P10318806A0000|166 169|p38
P10318806A0918|75 76|2
P10318806A0918|114 117|Src
P10318806A0918|155 156|3
P10318806A0918|169 194|GTPase-activating protein
P10318806A0918|207 210|Src
P10318806A0918|220 221|2
P10318806A0918|252 257|SHP-2
P10318806A0918|273 274|C
P10318806A0918|286 289|Crk
P10318806A0918|359 362|p38
P10319327A1237|185 188|E12
P10320177A0487|264 266|10
P10327051A0688|151 155|p300
P10327051A0688|156 159|CBP
P10327051A0688|160 164|ATF2
P10329135A1326|72 75|mt-
P10329586A0414|78 79|r
P10329586A0414|141 143|FN
P10329736A1106|59 62|p85
P10330134A0765|29 33|RFX2
P10330134A0765|39 43|RFX3
P10330134A0765|122 125|RFX
P10330159A1258|189 192|Jun
P10330159A1258|193 196|Fos
P10333481A1102|53 57|PLAP
P10333481A1102|233 234|5
P10340883A1266|67 69|IV
P10342829A1370|54 56|-1
P10342829A1370|88 92|SF-1
P10342829A1370|124 128|SF-1
P10342829A1370|172 175|GSE
P10343189A0911|34 35|1
P10347220A1477|126 127|1
P10347220A1477|127 128|p
P10347220A1477|159 160|1
P10347220A1477|160 161|p
P10347220A1477|171 172|1
P10347220A1477|172 173|p
P10347220A1477|308 309|1
P10347220A1477|309 310|p
P10347220A1477|340 341|1
P10347220A1477|350 351|p
P10347839A0434|66 67|M
P10347839A0434|78 80|10
P10347839A0434|85 86|M
P10357751A0866|174 176|CI
P10357751A0866|299 300|z
P10358075A0984|144 146|-1
P10358075A0984|164 165|3
P10358075A0984|177 180|PKB
P10358079A0391|86 91|Stat5
P10358080A1114|172 176|HSF1
P10358080A1114|253 257|HSF1
P10358083A0263|171 172|C
P10358083A0263|186 190|GATA
P10358083A0263|198 201|key
P10359014A1077|53 57|MAPK
P10359014A1077|233 237|MAPK
P10359603A0430|4 5|p
P10359603A0430|28 32|Sec1
P10359603A0430|32 33|p
P10359603A0430|44 49|Vps45
P10359603A0430|49 50|p
P10359663A1280|59 62|Fos
P10359663A1280|103 106|CAT
P10359663A1280|129 135|GATA-1
P10359663A1280|137 143|GATA-2
P10359663A1280|147 153|GATA-3
P10360454A0916|19 23|TNF-
P10360454A0916|124 125|6
P10360454A0916|125 127|th
P10360454A0916|151 152|p
P10362652A0350|37 39|10
P10362652A1456|62 64|HA
P10362652A1456|65 69|ERK2
P10362652A1456|110 113|EGF
P10364159A0813|47 51|mTOR
P10364159A0813|66 70|FRAP
P10364159A0813|71 75|mTOR
P10364159A0813|151 157|4E-BP1
P10364163A0092|88 89|3
P10369775A0178|77 79|ER
P10369775A0178|118 120|GR
P10370675A0649|73 74|C
P10376446A0000|59 60|2
P10376446A0000|118 120|FP
P10376446A0000|134 136|LP
P10376874A0759|115 116|C
P10376874A0759|136 140|eRF1
P10376874A0759|235 236|C
P10379899A0446|92 97|GDF-9
P10379942T0000|82 83|M
P10379942T0000|119 120|M
P10381257A0000|38 39|1
P10390538T0000|8 11|Raf
P10392669A0935|417 419|H2
P10392669A0935|558 562|term
P10393201A0654|54 73|DNA polymerase beta
P10393201A0654|78 92|DNA ligase III
P10393201A0654|93 98|XRCC1
P10393201A0654|124 125|3
P10395283A0960|47 51|OP-1
P10395283A0960|72 77|Smad4
P10395920A1424|117 120|KGF
P10396793A0815|43 46|per
P10397257A1142|209 210|M
P10398286A0678|147 148|p
P10400712A0577|44 46|GS
P10400712A0577|184 186|GE
P10400712A0577|196 198|GS
P10400712A0577|259 261|HN
P10400757A0000|51 52|T
P10400757A0000|132 133|1
P10400757A0000|138 140|-1
P10403575A1401|48 50|-1
P10403575A1401|96 97|6
P10403690A0000|144 146|PS
P10403690A0000|149 151|-1
P10403690A0000|155 156|2
P10403690A0000|299 300|3
P10403690A0000|304 306|m2
P10403690A0000|307 309|IV
P10403690A0000|353 355|m2
P10403690A0000|356 358|IV
P10403690A0000|366 367|1
P10403690A0000|388 390|m2
P10403690A0000|391 393|IV
P10403690A0000|401 402|2
P10403690A0000|407 410|MVP
P10403690A0000|430 431|C
P10403690A0000|438 439|2
P10403690A0000|458 460|m2
P10403690A0000|461 463|IV
P10403690A0000|471 472|1
P10403690A0000|491 493|m2
P10403690A0000|494 496|IV
P10403690A0000|505 506|1
P10403839A0140|50 51|1
P10403839A0140|183 188|BMAL1
P10403839A0140|195 196|1
P10406462A1127|49 54|SRC-1
P10406462A1127|93 96|OR1
P10406465A0589|43 44|D
P10406843A1265|69 72|PCR
P10407985A0574|65 71|GM-CSF
P10409755A1846|82 84|TG
P10409755A1846|97 99|JT
P10413662A0193|97 98|1
P10413676A0595|97 100|SH2
P10413676A0595|179 180|C
P10413676A0595|274 276|FN
P10413676A1193|84 87|Ser
P10413676A1193|105 109|FRNK
P10414451A0093|135 138|APC
P10414451A0093|139 140|R
P10414451A0093|164 166|LA
P10414451A0093|224 225|C
P10414451A0093|235 236|S
P10414451A0093|238 243|ATIII
P10417331A1008|77 79|-1
P10423156A0265|105 106|6
P10428811A1067|107 110|Src
P10428862A0834|187 188|3
P10429946A0473|136 137|1
P10430883A0000|250 255|Con A
P10430883A0000|328 333|Con A
P10438593A0000|44 46|-1
P10438593A0000|48 51|Tat
P10438627A0885|89 90|p
P10438924A1009|120 125|GSK-3
P10438941A1197|64 65|T
P10438950A0580|9 12|TNF
P10439040A0658|65 70|c-myc
P10439040A0658|122 125|CAT
P10441506A0098|275 276|D
P10441506A0098|284 287|HR2
P10441506A0098|316 319|HR1
P10442493A0815|156 157|p
P10446149A0809|93 98|Raf-1
P10446149A0809|102 105|Raf
P10446149A0809|107 108|B
P10446149A0809|109 112|Raf
P10446149A0809|146 152|RalGDS
P10446149A0809|158 162|Rin1
P10446206A0000|44 47|PS1
P10446206A0000|206 208|SK
P10446206A0000|209 210|N
P10448095A0865|45 50|C/EBP
P10452306A0502|134 135|M
P10452991A0331|81 82|T
P10453006A0478|59 64|PSMB9
P10453006A0478|92 97|PSMB1
P10453006A0478|97 98|2
P10454557A0975|58 59|3
P10454557A0975|78 79|2
P10454557A0975|195 198|key
P10454561A0594|59 71|IkappaBalpha
P10454561A0594|164 176|IkappaBalpha
P10454561A0594|297 300|p65
P10454561A0594|305 307|TD
P10454561A0594|308 320|IkappaBalpha
P10454568A0815|116 121|IGF-I
P10454568A0815|169 172|EGF
P10454570A0846|118 119|N
P10454570A0846|184 187|ATF
P10454570A0846|193 196|Jun
P10454570A0846|239 241|-1
P10454570A0846|331 332|1
P10454570A0846|334 339|ERK-1
P10454570A0846|345 350|ERK-2
P10454570A0846|403 405|-1
P10454570A0846|435 438|uPA
P10458905A0000|94 97|p22
P10458905A0000|98 101|p23
P10464302A1109b|49 53|p185
P10467004A0683|70 74|IBS1
P10467004A0683|168 169|5
P10467004A0683|181 182|6
P10469174A0678|33 36|NMR
P10469174A0678|98 99|C
P10469174A0678|124 128|MBF1
P10469174A0678|156 157|C
P10469174A0678|177 181|MBF1
P10469174A0678|183 188|MBF1C
P10469174A0678|188 190|TD
P10469656T0000|121 125|MSK1
P10469656T0000|149 151|H3
P10469656T0000|152 155|HMG
P10471696A0734|25 29|SAS5
P10471696A0734|58 59|1
P10471696A0734|59 60|p
P10471696A0734|81 84|HMR
P10471696A0734|120 123|ACS
P10471696A0734|127 131|Rap1
P10471696A0734|131 132|p
P10471721A0141|112 115|SLG
P10471721A0141|117 120|SRK
P10471721A0141|153 154|S
P10476970A0542|76 80|rap1
P10477545T0000|68 69|5
P10477545T0000|90 91|M
P10477545T0000|102 104|-1
P10477597A0126|103 107|GCKR
P10477597A0126|129 133|KHS1
P10477599T0000|50 52|-1
P10477599T0000|178 179|T
P10477620A0580|86 87|B
P10477620A0580|115 116|B
P10477620A0580|156 157|B
P10478844A1604|34 54|CREB-binding protein
P10483945A0641|12 14|MB
P10483945A0641|68 69|1
P10483945A0641|83 84|3
P10483945A0641|101 102|5
P10485470A0242|90 93|p21
P10485470A0242|189 192|TSA
P10488088T0000|0 26|Insulin-like growth factor
P10490835T0000|15 16|A
P10490955T0000|58 59|T
P10490955T0000|147 149|-1
P10490955T0000|168 170|-1
P10492127A0914|205 206|1
P10492169A0939|111 117|PAPP-A
P10493203T0000|91 92|T
P10493575T0000|40 43|Ca2
P10493575T0000|55 60|S100B
P10493575T0000|116 117|C
P10493575T0000|148 149|p
P10496161A0503|109 110|3
P10496388A1956b|83 84|2
P10497800A0000|23 25|al
P10497874A0925|135 138|PLC
P10498616A0157|17 18|M
P10498616A0157|89 93|IL-3
P10498616A0157|188 192|IL-3
P10498616A0157|214 218|IL-4
P10498706A1219|63 67|pelE
P10501965A0879|104 105|3
P10501965A0879|158 163|Gpr31
P10502402A0129|160 161|T
P10503812A1450|119 121|up
P10505694A0739|120 121|r
P10505694A0739|130 131|P
P10506143A0610|169 172|EGF
P10506143A0610|174 183|TNF-alpha
P10506143A0610|213 218|MEKK1
P10510379A0105|50 55|STAT6
P10511554T0000|95 100|cdf-1
P10512882A0137|146 149|Src
P10514493A0199|123 125|-1
P10514493A0199|163 165|-1
P10514493A0199|188 189|3
P10517666A1069|44 48|AP-1
P10517675A0809|63 66|p21
P10517675A0809|71 75|CIP1
P10517675A0809|175 178|p27
P10517675A0809|181 182|1
P10518502T0000|3 5|-1
P10518502T0000|10 13|nos
P10518561A0885|55 57|PH
P10518561A0885|62 65|SH2
P10521345A0202|214 216|th
P10521345A0202|256 259|NAO
P10521544T0000|119 120|N
P10524258T0000|57 63|FGFR-1
P10525413A1408|69 73|LIM2
P10525413A1408|126 127|N
P10525413A1408|128 131|NMR
P10526670A0236|115 119|PIP2
P10527180A0869|204 206|CI
P10527180A0869|274 276|CI
P10527180A0869|330 332|CI
P10527180A0869|392 394|CI
P10527180A0869|509 511|CI
P10527180A0869|560 562|CI
P10527180A0869|612 614|CI
P10527180A0869|684 685|3
P10527180A0869|733 735|CI
P10527180A0869|835 837|CI
P10531334A0525|125 128|cGK
P10532354A1374|29 30|p
P10532354A1374|114 116|ER
P10532805A1084|143 145|-1
P10534048A0297|103 104|D
P10534048A0297|177 178|2
P10534048A0297|179 180|D
P10534048A0297|272 273|3
P10534048A0297|274 275|D
P10534402A0659|3 6|PCR
P10542249A0415|142 147|C/EBP
P10542274A1376|104 106|-1
P10542281A0382|17 19|G2
P10542281A0382|152 154|G1
P10545192T0000|63 66|ras
P10545192T0000|67 68|C
P10545192T0000|72 74|-1
P10545192T0000|87 90|p70
P10545192T0000|92 93|6
P10550574A1038|138 139|2
P10551879T0000|47 48|A
P10555285A1065|88 92|FUT5
P10555285A1065|93 97|FUT6
P10556028A0292|175 179|BD-1
P10556028A0292|184 188|BD-2
P10556145A1034|80 81|p
P10556595A0391|66 67|T
P10556595A0391|68 69|A
P10556595A0391|92 93|3
P10557308A0000|70 73|RAS
P10559207A0207|46 56|APS kinase
P10559303A0000|114 115|B
P10559320A0080|90 91|1
P10563789A1951|43 45|CG
P10563789A1951|91 93|CG
P10564280A0140|168 169|B
P10564280A0140|186 189|Src
P10564280A0140|227 232|Sam68
P10566630A0371|36 41|IGF-I
P10566630A0371|43 45|SD
P10566630A0371|132 133|6
P10566630A0371|161 163|12
P10567430A0785|105 109|GRK2
P10567430A0785|177 179|12
P10567430A0785|212 216|GRK5
P10567430A0785|220 224|GRK6
P10567533A0818|27 30|PCR
P10570996A1213|33 35|TK
P10570996A1213|150 152|TK
P10572087A0326|75 80|FANCC
P10574929A0583|47 53|P-CIP2
P10579331A1225|67 72|SR-BI
P10579331A1225|150 157|SREBP-1
P10585453A1029|35 36|N
P10585453A1029|177 179|-1
P10585453A1029|191 194|LCR
P10586115A0477|85 93|IL-1beta
P10586115A0477|95 104|TNF-alpha
P10586115A0477|109 113|IL-6
P10586115A0477|120 124|IL-6
P10586115A0477|243 245|10
P10588946A0432|71 76|ORP-1
P10588946A0432|80 85|ORP-6
P10593939A0747|203 205|SR
P10593950A1113|64 70|U2AF65
P10593950A1113|125 133|hnRNP A1
P10599727A1567|61 63|TS
P10600171A1066|99 101|TF
P10600171A1066|114 115|2
P10600171A1066|121 123|-1
P10600171A1432|93 97|USF1
P10602507A0652|41 44|p21
P10602507A0652|123 125|D1
P10602507A0652|126 130|cdk4
P10602507A0652|159 164|CSF-1
P10602507A0652|178 181|p21
P10607566A0880|160 163|RXR
P10607566A0880|188 191|TCF
P10607899A0605|104 107|Sp1
P10607899A0605|109 113|CREB
P10608053A0923|155 156|1
P10608053A0923|181 182|2
P10608053A0923|184 185|p
P10608053A0923|214 215|p
P10610716A1127|106 108|FD
P10614857A0584|114 117|IFN
P10614857A0584|192 193|P
P10614857A0584|216 217|P
P10614857A0584|240 241|P
P10617126A1005|192 195|CA1
P10617126A1005|200 203|CA3
P10617126A1005|208 210|EC
P10617144A0386|57 58|1
P10623758A0947|174 175|5
P10624787A0432|134 135|P
P10624787A0432|146 147|P
P10624787A0432|183 184|1
P10624787A0432|220 221|P
P10624787A0432|253 254|P
P10625494A1059|94 97|VCR
P10628748A0746|57 61|SF-1
P10628748A0746|82 85|TCA
P10628750T0000|0 14|Angiotensin II
P10628755A0000|129 131|GH
P10628755A0000|155 160|GHS-R
P10628971A1165|278 283|INP53
P10628971A1165|337 338|5
P10630630A0614|47 50|PKC
P10630630A0614|90 93|CFI
P10637149A0806|49 50|p
P10637149A0806|138 139|A
P10638607A0000|136 138|T1
P10638607A0000|143 145|-1
P10640683A0204|121 125|NDRF
P10640683A0670|74 78|NDRF
P10640683A0670|153 154|3
P10640683A0670|172 174|up
P10640683A0670|192 194|12
P10640683A0670|341 345|NDRF
P10640683A0670|346 353|NeuroD2
P10640734A0190|111 114|SH2
P10640734A0190|146 148|-1
P10642889A0393|110 114|TATA
P10643313A0345|104 106|PA
P10643313A0345|118 121|BSS
P10648020A0151|96 99|tPA
P10648020A0151|114 117|tPA
P10648020A0151|164 165|1
P10648020A0151|167 172|PAI-1
P10648020A0151|277 279|RA
P10650939A0789|44 47|Fos
P10650939A0789|72 76|AP-1
P10652228A0759|34 35|N
P10652228A0759|66 69|Rho
P10652362A0933|163 167|AP-2
P10652362A0933|201 205|CFTR
P10653697A0133|76 77|N
P10655164A0546|153 154|H
P10655164A0546|165 166|p
P10655230A0685|62 67|HisRS
P10658588A0304|61 62|2
P10658588A0304|145 148|HB3
P10658588A0304|153 155|Dd
P10658588A0304|155 156|2
P10662614A0972|71 73|HC
P10662614A0972|79 81|P1
P10662614A0972|83 85|P3
P10662614A0972|91 93|CP
