P00027739T0000|6 31|gamma glutamyltransferase
P10521509A0000|35 38|RGS
P10521509A0000|62 98|DEP (disheveled, EGL-10, pleckstrin)
P10521509A0000|103 145|GGL (G protein gamma subunit-like) domains
P10521509A0000|103 137|GGL (G protein gamma subunit-like)
P10521509A0000|107 145|(G protein gamma subunit-like) domains
P10521509A0000|181 194|mammalian RGS
P10521509A0000|191 203|RGS proteins
P10521509A0000|191 231|RGS proteins RGS6, RGS7, RGS9, and RGS11
P10521509A0000|191 194|RGS
P10521544T0000|43 64|alpha 1,2-mannosidase
P10523520A0986|38 52|homologs of Hh
P10523520A0986|50 52|Hh
P10523520A0986|50 62|Hh molecules
P10523634A1404|29 41|Psi synthase
P10523634A1404|84 89|Cbf5p
P10523634A1404|117 122|H/ACA
P10523640A0367|13 16|Src
P10523647A0000|4 59|transcription factor CHOP (C/EBP homologous protein 10)
P10523647A0000|25 29|CHOP
P10523647A0000|25 59|CHOP (C/EBP homologous protein 10)
P10523647A1001|107 111|AP-1
P10523647A1001|107 111|AP-1
P10523663A0404|47 72|homeobox activator DEAF-1
P10523663A0404|66 72|DEAF-1
P10523674A0000|126 138|nuclear 5.8S
P10523674A0000|134 138|5.8S
P10523674A0000|134 143|5.8S rRNA
P10524258A0286|39 45|FGFR-1
P10524258A0286|39 58|FGFR-1 gene (cek-1)
P10524258A0286|46 58|gene (cek-1)
P10524258T0000|14 64|avian fibroblast growth factor receptor 1 (FGFR-1)
P10524258T0000|14 69|avian fibroblast growth factor receptor 1 (FGFR-1) gene
P10524258T0000|20 64|fibroblast growth factor receptor 1 (FGFR-1)
P10524258T0000|20 69|fibroblast growth factor receptor 1 (FGFR-1) gene
P10524258T0000|20 55|fibroblast growth factor receptor 1
P10524258T0000|56 69|(FGFR-1) gene
P10525413A1408|64 79|CRP2(LIM2)R122A
P10526670A0236|24 29|actin
P10526670A0236|24 49|actin filaments (F-actin)
P10526670A1828|20 33|ICE/caspase-1
P10527426A0521|16 20|SBEI
P10527426A0521|16 25|SBEI gene
P10528035A1102|59 83|alanine aminotransferase
P10529198A0068|72 104|homologues p140(ras-GRF) and Sos
P10529198A0068|72 96|homologues p140(ras-GRF)
P10529198A0068|83 96|p140(ras-GRF)
P10529198A0068|88 95|ras-GRF
P10529354A0375|89 99|19S(PA700)
P10529354A0375|103 106|P28
P10529354A0375|143 146|26S
P10531334A0525|51 60|PTPS-S19A
P10531334A0525|124 143|(cGK) type I and II
P10531342A0348|156 165|psa2/gp46
P10531342A0348|156 173|psa2/gp46 complex
P10531342A1111|66 83|ppg1 gene product
P10531342A1111|66 75|ppg1 gene
P10531360A0958|118 122|VEGF
P10531446A0203|62 102|ErbB family of receptor tyrosine kinases
P10531446A0203|62 66|ErbB
P10532354A1374|44 78|homologue of mammalian epsilon-COP
P10532354A1374|57 78|mammalian epsilon-COP
P10532354A1374|67 78|epsilon-COP
P10532805A1084|140 145|nrg-1
P10533066A0758|0 4|TSC1
P10534402A0126|155 161|Spo11p
P10536125A0093|133 147|neuraminidases
P10536369A0662|55 73|VDR-TR heterodimer
P10536369A0662|55 61|VDR-TR
P10540292A1179|25 28|spv
P10540292A1179|25 28|spv
P10541432A0185|17 21|erbB
P10541432A0185|39 68|epidermal growth factor (EGF)
P10541432A0185|116 119|Shc
P10541432A0185|170 185|EGF-induced ERK
P10541432A0185|170 173|EGF
P10541432A0185|182 185|ERK
P10541432A0185|182 190|ERK MAPK
P10541432A0185|182 185|ERK
P10541432A0185|182 190|ERK MAPK
P10542249A0415|141 153|(C/EBP)alpha
P10542269A0000|0 28|Amyloid beta-protein (Abeta)
P10542269A0000|184 220|beta-amyloid precursor protein (APP)
P10542269A0000|184 206|beta-amyloid precursor
P10542274A1376|32 54|protein kinase A (PKA)
P10542274A1376|96 106|caveolin-1
P10542277A0000|4 23|importin alpha.beta
P10542277A0000|4 12|importin
P10542281A0382|14 19|G1-G2
P10542281A0382|82 101|immunoglobulin-fold
P10542281A0382|82 96|immunoglobulin
P10542281A0382|152 154|G1
P10543727A0282|116 129|rel/NF-kappaB
P10543727A0282|116 151|rel/NF-kappaB transcription factors
P10543727A0282|120 151|NF-kappaB transcription factors
P10543727A0282|171 176|H2TF1
P10543727A0282|180 187|kappaB1
P10543727A0282|180 186|kappaB
P10543727A0282|229 236|kappaB2
P10543727A0282|295 300|H2TF1
P10543727A0282|336 344|p65/relA
P10543727A0282|383 391|AP-1/ATF
P10543727A0282|383 412|AP-1/ATF recognition sequence
P10543727A0282|388 412|ATF recognition sequence
P10543727A0282|428 431|EnA
P10543728A0358|16 21|E1A +
P10543728A0358|16 29|E1A + cHa-ras
P10543730A0000|4 23|yeast C-type cyclin
P10543730A0000|4 35|yeast C-type cyclin Ume3p/Srb11
P10543730A0000|4 29|yeast C-type cyclin Ume3p
P10543730A0000|10 36|C-type cyclin Ume3p/Srb11p
P10543730A0000|10 29|C-type cyclin Ume3p
P10543730A0000|24 36|Ume3p/Srb11p
P10543730A0000|45 80|cyclin-dependent kinase (Cdk) Ume5p
P10543730A0000|45 74|cyclin-dependent kinase (Cdk)
P10543730A0000|69 80|(Cdk) Ume5p
P10543949A0686|19 22|S1'
P10544088A0308|45 59|(PRDII)(4)-CAT
P10544089A1208|47 51|I(2)
P10544089A1208|66 68|U1
P10544089A1208|148 150|MP
P10544089A1208|148 150|MP
P10544089A1208|148 150|MP
P10544089A1208|148 150|MP
P10544113A0293|0 8|EIAV LTR
P10544113A0293|95 97|U3
P10545192T0000|63 82|ras/C-raf-1/MEK/ERK
P10545192T0000|87 95|p70(s6k)
P10545248A0567|86 118|homeodomain protein Tinman (Tin)
P10545248A0567|86 112|homeodomain protein Tinman
P10545248A0567|106 118|Tinman (Tin)
P10545281A0836|130 138|bop gene
P10545281A0836|130 133|bop
P10548434A1549|37 53|polyoma middle T
P10548434A1549|45 53|middle T
P10548434A1549|45 62|middle T antigens
P10548434A1549|144 151|JNK/SPK
P10548722A0099|71 79|TcP2beta
P10549354A1782|16 29|APC wild-type
P10549354A1782|88 124|nuclear Tcf-4/beta-catenin complexes
P10549354A1782|88 101|nuclear Tcf-4
P10549354A1782|88 114|nuclear Tcf-4/beta-catenin
P10549354A1782|96 124|Tcf-4/beta-catenin complexes
P10549354A1782|96 114|Tcf-4/beta-catenin
P10549354A1782|261 275|Axin/Conductin
P10549354A2371|46 49|Tcf
P10549354A2371|46 56|Tcf target
P10550574A1038|81 101|alkaline phosphatase
P10551816A0162|6 12|LTBP-1
P10551879T0000|47 74|A-kinase anchoring proteins
P10551879T0000|136 177|green fluorescent protein fusion proteins
P10551879T0000|136 168|green fluorescent protein fusion
P10555285A1065|75 97|primate FUT3-FUT5-FUT6
P10555285A1065|75 87|primate FUT3
P10555285A1065|75 105|primate FUT3-FUT5-FUT6 cluster
P10555285A1065|83 105|FUT3-FUT5-FUT6 cluster
P10555285A1065|83 97|FUT3-FUT5-FUT6
P10555285A1065|233 239|globin
P10556028A0292|4 7|cop
P10556028A0292|110 114|repA
P10556028A0292|155 159|RepA
P10556033A0000|4 15|RFX protein
P10556033A0000|4 7|RFX
P10556044A0913|103 105|LG
P10556046A0328|39 52|BMP/ALK2/Smad
P10556063A0092|55 58|Trk
P10556089A0901|239 245|CUG-bp
P10556595A0391|31 42|mutant recN
P10556595A0391|38 47|recN gene
P10556595A0391|38 42|recN
P10557072A0127|30 86|mouse and human cDNAs encoding UNC-51-like kinase (ULK1)
P10557072A0127|40 86|human cDNAs encoding UNC-51-like kinase (ULK1)
P10557072A0127|40 79|human cDNAs encoding UNC-51-like kinase
P10557072A0127|46 86|cDNAs encoding UNC-51-like kinase (ULK1)
P10557072A0127|46 79|cDNAs encoding UNC-51-like kinase
P10557072A0127|61 79|UNC-51-like kinase
P10557072A0127|61 86|UNC-51-like kinase (ULK1)
P10557072A0127|61 72|UNC-51-like
P10557072A0127|61 67|UNC-51
P10557308A0000|0 31|Connector enhancer of KSR (CNK)
P10559303A0000|0 57|Epstein-Barr virus (EBV) latent membrane protein 1 (LMP1)
P10559303A0000|19 57|(EBV) latent membrane protein 1 (LMP1)
P10559303A0000|19 50|(EBV) latent membrane protein 1
P10559303A0000|25 57|latent membrane protein 1 (LMP1)
P10559303A0000|25 50|latent membrane protein 1
P10559320A0080|54 91|alphavirus nonstructural protein nsP1
P10559320A0080|65 91|nonstructural protein nsP1
P10559320A0080|79 91|protein nsP1
P10559320A0080|87 91|nsP1
P10559324A0716|42 50|E4orf6/7
P10559324A0716|103 116|wild-type p53
P10559364A0846|135 172|polymerase processivity factor (UL44)
P10559364A0846|178 225|single-stranded DNA binding protein (SSB; UL57)
P10559364A0846|215 224|SSB; UL57
P10560997A1072|25 35|urinary LH
P10561546A0000|160 181|NF-kappaB p65 subunit
P10561546A0000|160 173|NF-kappaB p65
P10561546A0000|170 173|p65
P10562456T0000|59 78|growth hormone gene
P10562456T0000|59 73|growth hormone
P10563789A1951|30 50|F beta alpha/CG beta
P10563789A1951|91 111|CG and FSH receptors
P10563836A1234|13 17|AP-2
P10563836A1234|13 17|AP-2
P10564280A0140|141 169|scaffold attachment factor B
P10564280A0140|150 169|attachment factor B
P10564280A0140|186 189|Src
P10564472A0853|46 50|TraR
P10564474T0000|0 20|PhoP-PhoQ homologues
P10564474T0000|0 9|PhoP-PhoQ
P10564474T0000|5 20|PhoQ homologues
P10564474T0000|89 101|protein OprH
P10564474T0000|97 101|OprH
P10564479A0384|12 15|fds
P10564495A0444|23 26|Opa
P10564495A0444|93 149|cDNA encoding the carcinoembryonic antigen [CEA (CD66e)]
P10564495A0444|93 135|cDNA encoding the carcinoembryonic antigen
P10564495A0444|93 177|cDNA encoding the carcinoembryonic antigen [CEA (CD66e)] subgroup of the CD66 family
P10564495A0444|93 158|cDNA encoding the carcinoembryonic antigen [CEA (CD66e)] subgroup
P10564495A0444|111 158|carcinoembryonic antigen [CEA (CD66e)] subgroup
P10564495A0444|111 149|carcinoembryonic antigen [CEA (CD66e)]
P10564495A0444|136 149|[CEA (CD66e)]
P10564495A0444|136 177|[CEA (CD66e)] subgroup of the CD66 family
P10564495A0444|136 158|[CEA (CD66e)] subgroup
P10564495A0444|137 148|CEA (CD66e)
P10564495A0444|141 148|(CD66e)
P10564495A0444|142 147|CD66e
P10564495A0444|142 146|CD66
P10564495A0444|209 222|CGM1- (CD66d)
P10564495A0444|227 238|NCA (CD66c)
P10564593A1618|4 7|MXR
P10564593A1618|4 7|MXR
P10566630A0371|0 42|Serum insulin-like growth factor I (IGF-I)
P10566630A0371|6 42|insulin-like growth factor I (IGF-I)
P10566630A0371|6 34|insulin-like growth factor I
P10567430A0785|40 58|brain Galpha(q/11)
P10567430A0785|46 58|Galpha(q/11)
P10567524T0000|4 8|elm1
P10567538A1028|134 137|CH3
P10567538A1028|134 163|CH3 domain/E1A-binding region
P10567538A1028|134 148|CH3 domain/E1A
P10567538A1028|145 163|E1A-binding region
P10567581A0119|27 54|HNF-3/fork head homolog-11B
P10567581A0119|27 62|HNF-3/fork head homolog-11B protein
P10567581A0119|33 62|fork head homolog-11B protein
P10567581A0119|130 152|winged helix/fork head
P10567581A0119|130 174|winged helix/fork head transcription factors
P10567581A0119|143 174|fork head transcription factors
P10568728A1445|19 34|creatine kinase
P10568744A0728|113 124|alpha2-Mcm1
P10570996A1213|33 35|TK
P10570996A1213|33 35|TK
P10571047A1009|101 108|HindIII
P10572087A0326|43 65|Fanconi anemia group C
P10572087A0326|43 81|Fanconi anemia group C protein (FANCC)
P10572131A0000|86 95|nasFEDCBA
P10574929A0583|40 53|47-kDa P-CIP2
P10574929A0583|47 53|P-CIP2
P10574929A0583|47 61|P-CIP2 protein
P10574982A1075|33 84|upstream stimulatory factor-1 and -2 (USF-1 and -2)
P10574992A0901|32 40|p300/CBP
P10574992A0901|67 71|PARP
P10574992A0901|67 71|PARP
P10575231A0355|49 64|13-kb Cdc6 gene
P10575231A0355|49 59|13-kb Cdc6
P10575231A0355|55 59|Cdc6
P10576545A0926|66 81|murine D1A gene
P10576545A0926|66 76|murine D1A
P10576545A0926|73 81|D1A gene
P10576545A0926|73 90|D1A gene promoter
P10579331A1225|50 81|rat HDL receptor SR-BI promoter
P10579331A1225|50 66|rat HDL receptor
P10579331A1225|50 72|rat HDL receptor SR-BI
P10579331A1225|54 66|HDL receptor
P10579331A1225|54 72|HDL receptor SR-BI
P10579331A1225|54 81|HDL receptor SR-BI promoter
P10579331A1225|54 69|HDL receptor SR
P10579331A1225|70 72|BI
P10579722T0000|19 69|myosin-binding subunit (MBS) of myosin phosphatase
P10579722T0000|19 47|myosin-binding subunit (MBS)
P10579722T0000|19 25|myosin
P10579722T0000|42 69|(MBS) of myosin phosphatase
P10580438A0508|53 68|GLUT4 repressor
P10580438A0508|53 83|GLUT4 repressor element (G4RE)
P10585417A1412|86 103|intermediate PRLr
P10585417A1412|99 103|PRLr
P10585417A1412|99 103|PRLr
P10585440A0204|19 46|Drosophila melanogaster FAK
P10585440A0204|43 46|FAK
P10585440A0204|43 56|FAK homologue
P10585453A1029|12 17|Pit-1
P10585453A1029|31 36|hGH-N
P10585453A1029|31 41|hGH-N gene
P10585453A1029|174 179|Pit-1
P10585453A1029|187 190|hGH
P10585463A0859|12 32|prenylcysteine lyase
P10585480A0157|28 31|SH3
P10585480A0265|29 32|SH3
P10585480A0265|54 65|vinexin-Sos
P10585491A0945|65 88|wild-type AtpC promoter
P10585491A0945|65 79|wild-type AtpC
P10585491A0945|75 88|AtpC promoter
P10585491A0945|75 97|AtpC promoter sequence
P10585491A0945|75 79|AtpC
P10585491A0945|75 79|AtpC
P10585491A0945|75 79|AtpC
P10586074A0129|89 112|envelope glycoprotein E
P10586074A0129|98 112|glycoprotein E
P10586074A0129|98 160|glycoprotein E of the flavivirus tick-borne encephalitis virus
P10587460A0302|46 62|human VDR (hVDR)
P10587460A0302|57 61|hVDR
P10587460A0302|76 103|C-terminally truncated hVDR
P10587460A0302|76 111|C-terminally truncated hVDR mutants
P10587460A0302|89 111|truncated hVDR mutants
P10587460A0302|89 103|truncated hVDR
P10587460A0302|99 103|hVDR
P10587576A0596|105 110|SH3GL
P10588946A0432|37 41|OSBP
P10591633A0138|124 129|SNARE
P10593939A0747|90 94|SR33
P10593939A0747|134 138|SR45
P10593939A0747|134 136|SR
P10593939A0747|249 278|Arabidopsis full-length U-70K
P10593950A1113|76 120|U5 small nuclear RNP-associated protein p116
P10593950A1113|125 133|hnRNP A1
P10593950A1113|125 133|hnRNP A1
P10593950A1113|125 133|hnRNP A1
P10594239T0000|8 40|pleckstrin homology-related gene
P10594239T0000|8 18|pleckstrin
P10594239T0000|59 68|Ipl/Tssc3
P10597223A0339|75 78|p21
P10597223A0339|75 78|p21
P10597223A0339|209 211|Sp
P10597223A0339|209 219|Sp1-family
P10597232A0000|4 12|RET/PTC3
P10597232A0000|4 7|RET
P10598101A0000|19 44|bZIP protein Opaque2 (O2)
P10598101A0000|24 39|protein Opaque2
P10598101A0000|24 44|protein Opaque2 (O2)
P10598101A0000|32 39|Opaque2
P10598101A0000|32 44|Opaque2 (O2)
P10598101A0000|41 43|O2
P10598101A0000|124 150|22 kDa zein gene promoters
P10598101A0000|124 135|22 kDa zein
P10598101A0000|124 140|22 kDa zein gene
P10598101A0000|131 140|zein gene
P10598101A0000|131 150|zein gene promoters
P10598101A0754|4 11|mEmBP-1
P10598101A0754|102 104|O2
P10598101A0754|177 188|22 kDa zein
P10598101A0754|180 197|kDa zein promoter
P10598101A0754|184 197|zein promoter
P10598101A0754|184 188|zein
P10600171A1066|46 52|CYP3A2
P10600171A1066|109 123|CYP3A2 DexRE-1
P10600171A1066|109 115|CYP3A2
P10600171A1066|116 128|DexRE-1 site
P10600171A1066|116 123|DexRE-1
P10601280A0674|70 73|ST3
P10601290A0742|228 239|class I MHC
P10601290A0742|228 247|class I MHC-peptide
P10601290A0742|236 257|MHC-peptide complexes
P10601344A1653|51 54|Rho
P10601344A1653|51 67|Rho-like GTPases
P10601344A1653|51 59|Rho-like
P10601344A1653|119 130|IL2R-beta1A
P10602502A0422|9 12|Tob
P10602507A0652|116 130|cyclin D1/cdk4
P10602507A0652|132 135|p53
P10602507A0652|132 135|p53
P10602516A0182|43 93|microtubule and nuclear associated protein (M-NAP)
P10603349A1667|82 86|Myf5
P10603349A1667|82 86|Myf5
P10604945A0731|56 59|Sp1
P10606245A0906|18 25|CDP/cut
P10606245A0906|84 86|OC
P10606245A0906|84 86|OC
P10606272A1241|91 94|SF1
P10606515A0389|59 86|beta-retinoic acid receptor
P10606664A0000|0 12|Snail family
P10606664A0000|0 5|Snail
P10607566A0880|72 89|RA receptor (RAR)
P10607566A0880|139 164|retinoid X receptor (RXR)
P10607899A0605|137 154|estrogen receptor
P10607900T0000|0 15|Sak kinase gene
P10607900T0000|0 3|Sak
P10610716A1127|87 95|human AC
P10610716A1127|93 100|AC gene
P10610716A1127|93 95|AC
P10611228A1388|4 27|DAP5/p86 apoptotic form
P10611228A1388|4 12|DAP5/p86
P10611228A1388|49 57|DAP5/p97
P10611235A1927|76 81|Fus3p
P10611235A1927|139 149|Ste5p-MAPK
P10611242A0541|40 44|SAGA
P10611242A0541|73 77|HIS3
P10611242A0541|103 107|SAGA
P10611320A0816|73 76|CAK
P10611320A0816|114 126|44-kDa Cak1p
P10611320A0816|121 126|Cak1p
P10611320A0816|121 134|Cak1p protein
P10612044A1180|49 53|AP-4
P10612044A1180|144 153|Aal-rpL34
P10612044A1180|158 172|Aal-rpL8 genes
P10612044A1180|158 166|Aal-rpL8
P10612044A1180|162 172|rpL8 genes
P10613863T0000|4 8|VirR
P10613863T0000|133 137|pfoA
P10613874A0663|185 189|GlnA
P10619353T0000|92 158|chicken ovalbumin upstream promoter transcription factor (COUP-TF)
P10623804A0808|114 149|SHP-2 SH2-containing decoy proteins
P10623804A0808|114 123|SHP-2 SH2
P10623804A0808|120 123|SH2
P10625494A1059|72 76|MDR1
P10625683A0091|23 54|protein tyrosine kinases (PTKs)
P10627532A0739|88 101|(MAP) kinases
P10627532A0739|178 203|transcription factor ATF2
P10627532A0739|199 203|ATF2
P10628748A0746|57 107|SF-1 regulatory element (TCA GGGCCA; -137 to -129)
P10628748A0746|57 61|SF-1
P10628750A0298|50 90|[tumor necrosis factor-alpha (TNFalpha)]
P10628750A0298|51 89|tumor necrosis factor-alpha (TNFalpha)
P10628750A0298|51 78|tumor necrosis factor-alpha
P10628750A0298|126 200|heterodimeric nuclear factor-kappaB (NF-kappaB) complex Rel A x NF-kappaB1
P10628750A0298|126 173|heterodimeric nuclear factor-kappaB (NF-kappaB)
P10628750A0298|140 161|nuclear factor-kappaB
P10628750A0298|140 173|nuclear factor-kappaB (NF-kappaB)
P10628750A0298|140 200|nuclear factor-kappaB (NF-kappaB) complex Rel A x NF-kappaB1
P10628750A0298|162 200|(NF-kappaB) complex Rel A x NF-kappaB1
P10628750A0298|182 200|Rel A x NF-kappaB1
P10628750T0000|23 50|nuclear factor (NF)-kappaB1
P10628750T0000|38 59|(NF)-kappaB1 isoforms
P10628750T0000|38 50|(NF)-kappaB1
P10628750T0000|72 121|angiotensinogen gene acute-phase response element
P10628750T0000|72 87|angiotensinogen
P10628755A0000|122 161|orphan GH-secretagogue receptor (GHS-R)
P10628755A0000|129 161|GH-secretagogue receptor (GHS-R)
P10628755A0000|129 153|GH-secretagogue receptor
P10628971A0824|114 150|vacuolar protein sorting genes (VPS)
P10628971A0824|166 180|dynamin family
P10628971A0824|166 192|dynamin family member VPS1
P10628971A0824|166 187|dynamin family member
P10628971A1165|296 308|synaptojanin
P10628971A1165|296 313|synaptojanin-like
P10628971A1165|314 350|inositol polyphosphate 5-phosphatase
P10629035A0827|153 163|cdc17/pol1
P10629035A0827|153 171|cdc17/pol1 mutants
P10629035A0827|159 171|pol1 mutants
P10629176A0887|74 92|S. cerevisiae FBP1
P10629176A0887|88 97|FBP1 gene
P10629176A0887|88 92|FBP1
P10629938A1352|42 50|GFP-POLO
P10629938A1352|42 58|GFP-POLO protein
P10629938A1352|46 58|POLO protein
P10630630A0614|90 93|CFI
P10633075A1111|10 13|IgG
P10633075A1111|15 28|anti-GalT Fab
P10633075A1111|15 24|anti-GalT
P10639585A0157|11 14|MPO
P10640683A0204|0 12|NDRF/NeuroD2
P10640683A0204|95 133|expression constructs for NDRF/NeuroD2
P10640683A0204|106 133|constructs for NDRF/NeuroD2
P10640683A0204|121 133|NDRF/NeuroD2
P10640683A0670|74 86|NDRF/NeuroD2
P10640683A0670|124 162|rat insulin promoter element 3 (RIPE3)
P10640683A0670|124 171|rat insulin promoter element 3 (RIPE3) enhancer
P10640683A0670|155 171|(RIPE3) enhancer
P10640683A0670|341 353|NDRF/NeuroD2
P10640701T0000|4 12|Pax2/5/8
P10640734A0190|68 102|SH2 domain-containing phosphatases
P10640734A0190|68 78|SH2 domain
P10640734A0190|111 148|SH2-containing tyrosine phosphatase-1
P10644753A0725|33 42|anti-FLAG
P10646863A0838|97 118|topoisomerase IIalpha
P10647817T0000|28 93|gibbon and monkey platelet and T cell activation antigen 1 (PTA1)
P10647817T0000|28 86|gibbon and monkey platelet and T cell activation antigen 1
P10647817T0000|39 93|monkey platelet and T cell activation antigen 1 (PTA1)
P10647817T0000|39 86|monkey platelet and T cell activation antigen 1
P10647817T0000|46 93|platelet and T cell activation antigen 1 (PTA1)
P10647817T0000|46 86|platelet and T cell activation antigen 1
P10648020A0151|9 36|Von Willebrand factor (vWF)
P10648020A0151|66 100|tissue plasminogen activator (tPA)
P10648020A0151|132 173|plasminogen activator inhibitor 1 (PAI-1)
P10648619A0000|50 76|TATA-binding protein (TBP)
P10648619A0000|150 171|silkworm tRNA(C)(Ala)
P10648619A0000|159 171|tRNA(C)(Ala)
P10648619A0000|159 176|tRNA(C)(Ala) gene
P10648619A0000|282 315|silk gland-specific tRNA(SG)(Ala)
P10648619A0000|302 320|tRNA(SG)(Ala) gene
P10648619A0000|302 315|tRNA(SG)(Ala)
P10649449A0413|47 64|squalene synthase
P10650938T0000|4 35|estrogen receptor (ER) isoforms
P10650938T0000|4 26|estrogen receptor (ER)
P10650938T0000|22 35|(ER) isoforms
P10650938T0000|23 25|ER
P10650938T0000|96 104|trout ER
P10650938T0000|102 104|ER
P10650938T0000|102 109|ER gene
P10650939A1542|118 132|PGDH-2368/luc3
P10650958A1315|56 71|consensus c-myb
P10650958A1315|66 79|c-myb element
P10650958A1315|66 71|c-myb
P10650958A1315|66 71|c-myb
P10651805A1600|37 59|reduced folate carrier
P10651805T0000|22 74|human alternatively spliced truncated reduced folate
P10651805T0000|28 82|alternatively spliced truncated reduced folate carrier
P10651805T0000|50 82|truncated reduced folate carrier
P10651805T0000|60 82|reduced folate carrier
P10652102A0620|45 49|Fus3
P10652228A0759|28 33|c-Jun
P10652228A0759|66 76|Rho family
P10652228A0759|66 69|Rho
P10653693A0429|72 87|KRAB:KAP-1-RBCC
P10653693A0429|72 82|KRAB:KAP-1
P10653693A0429|77 87|KAP-1-RBCC
P10653693A0903|84 94|KAP-1-RBCC
P10655230A0685|34 44|mouse GCN2
P10655230A0685|34 53|mouse GCN2 isoforms
P10655230A0685|40 53|GCN2 isoforms
P10655230A0685|62 67|HisRS
P10656802A1724|30 41|cathepsin X
P10657238A0541|88 93|mStaf
P10657658A0165|123 146|kappa B-linked reporter
P10657658A0165|123 130|kappa B
P10657658A0165|168 174|ICAM-1
P10657899A0685|145 160|AP-1-luciferase
P10660069A0819|4 15|rrd1,2delta
P10660069A0819|116 119|RRD
P10660069A0819|134 139|Hog1p
P10660304A0522|15 22|JAK/Tyk
P10660304A0522|15 49|JAK/Tyk family of tyrosine kinases
P10660304A0522|15 29|JAK/Tyk family
P10660304A0522|19 49|Tyk family of tyrosine kinases
P10660604A0748|9 25|CARbeta/RXRalpha
P10660604A0748|58 85|HD-PPRE luciferase reporter
P10660604A0748|58 76|HD-PPRE luciferase
P10660604A0748|58 65|HD-PPRE
P10660604A0748|58 95|HD-PPRE luciferase reporter construct
P10660604A0748|66 85|luciferase reporter
P10660604A0748|66 76|luciferase
P10660604A0748|66 95|luciferase reporter construct
P10660676A0000|0 17|Zebrafish cyclops
P10660676A0000|0 23|Zebrafish cyclops (cyc)
P10660676A0000|10 23|cyclops (cyc)
P10660676A0000|34 75|Transforming Growth Factor beta (TGFbeta)
P10660676A0000|34 92|Transforming Growth Factor beta (TGFbeta) signaling factor
P10660676A0000|66 92|(TGFbeta) signaling factor
P10660676A0000|112 123|mouse Nodal
P10663558T0000|115 142|anti-laminin Ig heavy chain
P10666222A0330|16 43|full-length murine survivin
P10666222A0330|28 48|murine survivin cDNA
P10666222A0330|28 43|murine survivin
P10666222A0330|35 48|survivin cDNA
P10666222A0330|35 43|survivin
P10666222A0330|35 43|survivin
P10666238A1322|42 47|E2F-1
P10666238A1322|64 70|E4-6/7
P10666238A1322|132 137|E2F-1
P10667597A0668|8 13|HZF16
P10668701A1311|24 28|APOE
P10668701A1311|24 37|APOE epsilon4
P10669594A0000|24 32|fimbrins
P10669594A0000|238 258|metalloprotease gp63
P10669594A0000|254 258|gp63
P10669594A0969|40 53|chimeric SefA
P10669594A0969|49 53|SefA
P10669594A0969|49 62|SefA proteins
P10669596A0430|231 251|Abc2-modified RecBCD
P10669596A0430|231 260|Abc2-modified RecBCD nuclease
P10669633A0391|99 104|flt-1
P10669751T0000|73 76|cot
P10669751T0000|96 101|c-jun
P10671519A0641|130 133|LEM
P10671520T0000|29 40|human I-mfa
P10671520T0000|29 47|human I-mfa domain
P10671520T0000|35 40|I-mfa
P10671520T0000|35 66|I-mfa domain-containing protein
P10671520T0000|35 47|I-mfa domain
P10675610A0279|125 130|C-MYC
P10677214A1045|36 40|E44D
P10677214A1045|374 397|MutT-Mg(2+)-dGTP-Mg(2+)
P10677214A1045|374 385|MutT-Mg(2+)
P10677214A1045|374 390|MutT-Mg(2+)-dGTP
P10677214A1045|374 405|MutT-Mg(2+)-dGTP-Mg(2+) complex
P10679065A0711|40 71|MAPK-activated protein kinase-2
P10679065A0711|130 133|p38
P10679065A0711|140 171|MAPK-activated protein kinase-2
P10679065A0711|140 188|MAPK-activated protein kinase-2 immune complexes
P10679065A0711|239 243|CREB
P10679065A0711|239 270|CREB serine 133 phosphoacceptor
P10679065A1217|16 83|CRE-dependent junB promoter/chloramphenicol acetyltransferase (CAT)
P10679065A1217|16 97|CRE-dependent junB promoter/chloramphenicol acetyltransferase (CAT) reporter gene
P10679065A1217|16 92|CRE-dependent junB promoter/chloramphenicol acetyltransferase (CAT) reporter
P10679065A1217|16 43|CRE-dependent junB promoter
P10679065A1217|16 34|CRE-dependent junB
P10679065A1217|30 92|junB promoter/chloramphenicol acetyltransferase (CAT) reporter
P10679065A1217|30 83|junB promoter/chloramphenicol acetyltransferase (CAT)
P10679065A1217|30 77|junB promoter/chloramphenicol acetyltransferase
P10679065A1217|30 34|junB
P10679065A1217|30 97|junB promoter/chloramphenicol acetyltransferase (CAT) reporter gene
P10679065A1217|30 34|junB
P10679065A1217|44 83|chloramphenicol acetyltransferase (CAT)
P10679065A1217|44 92|chloramphenicol acetyltransferase (CAT) reporter
P10679065A1217|44 97|chloramphenicol acetyltransferase (CAT) reporter gene
P10679065A1217|78 92|(CAT) reporter
P10679065A1217|78 97|(CAT) reporter gene
P10681520A0525|0 8|Ras-GRF1
P10681562A0263|134 153|wild-type PPARgamma
P10681588A0899a|138 145|(ATF)-4
P10681588A0899b|138 145|(ATF)-4
P10683244A0939|17 23|NBF1+R
P10683244A0939|37 41|NBF2
P10683244A0939|202 208|NBF1+R
P10683244A0939|212 216|NBF2
P10683244A1860|49 62|CFTR's NBF1+R
P10683244A1860|49 53|CFTR
P10683244A1860|56 69|NBF1+R region
P10683244A1860|78 82|NBF2
